🚀 Frontend Amazon Q Style server running on port 3005
📱 Access: http://localhost:3005
🔗 Public: http://bedrock-playground.danielingram.shop
🎯 Backend proxy: localhost:8001
172.31.27.253 - - [30/Jul/2025 04:06:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:06:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:06:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:07:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:07:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:07:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:07:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:08:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:08:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:08:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:08:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:09:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:09:29] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:09:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:09:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:10:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:10:29] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:10:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:10:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:11:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:11:29] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:11:49] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:11:49] "GET /system-prompt HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:11:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:11:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:12:03] "POST /system-prompt HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:12:22] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:12:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:12:29] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:12:41] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:12:52] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:12:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:12:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:13:03] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:13:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:13:29] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:13:30] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:13:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:13:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:14:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:14:29] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:14:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:14:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:15:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:15:29] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:15:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:15:59] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:16:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:16:29] "GET / HTTP/1.1" 200 -
